2Simulación,Caudal (m³/s)
1538,1.815953
1539,1.812077
1540,1.806294
1541,1.814013
1542,1.823755
1543,1.810145
1544,1.823755
1545,1.814013
1546,1.808217
1547,1.817897
1548,1.819846
1549,1.821798
1550,1.815953
1551,1.817897
1552,1.808217
1553,1.810145
1554,1.817897
1555,1.819846
1556,1.815953
1557,1.812077
1558,1.821798
1559,1.808217
1560,1.815953
1561,1.812077
1562,1.819846
1563,1.814013
1564,1.814013
1565,1.810145
1566,1.810145
1567,1.812077
1568,1.817897
1569,1.814013
1570,1.823755
1571,1.808217
1572,1.804374
1573,1.819846
1574,1.821798
1575,1.815953
1576,1.808217
1577,1.800547
1578,1.812077
1579,1.819846
1580,1.821798
1581,1.821798
1582,1.817897
1583,1.815953
1584,1.817897
1585,1.808217
1586,1.812077
1587,1.819846
1588,1.808217
1589,1.806294
1590,1.814013
1591,1.817897
1592,1.810145
1593,1.823755
1594,1.812077
1595,1.815953
1596,1.817897
1597,1.810145
1598,1.810145
1599,1.806294
1600,1.810145
1601,1.815953
1602,1.817897
1603,1.810145
1604,1.814013
1605,1.821798
1606,1.812077
1607,1.810145
1608,1.815953
1609,1.823755
1610,1.817897
1611,1.79864
1612,1.814013
1613,1.815953
1614,1.804374
1615,1.815953
1616,1.817897
1617,1.817897
1618,1.815953
1619,1.821798
1620,1.815953
1621,1.812077
1622,1.817897
1623,1.815953
1624,1.802459
1625,1.815953
1626,1.814013
1627,1.812077
1628,1.825716
1629,1.812077
1630,1.810145
1631,1.810145
1632,1.810145
1633,1.814013
1634,1.804374
1635,1.814013
1636,1.815953
1637,1.814013
1638,1.802459
1639,1.812077
1640,1.815953
1641,1.812077
1642,1.815953
1643,1.825716
1644,1.815953
1645,1.814013
1646,1.810145
1647,1.825716
1648,1.812077
1649,1.810145
1650,1.821798
1651,1.815953
1652,1.815953
1653,1.808217
1654,1.812077
1655,1.814013
1656,1.819846
1657,1.810145
1658,1.815953
1659,1.819846
1660,1.812077
1661,1.804374
1662,1.810145
1663,1.815953
1664,1.814013
1665,1.810145
1666,1.814013
1667,1.810145
1668,1.819846
1669,1.815953
1670,1.815953
1671,1.814013
1672,1.802459
1673,1.808217
1674,1.814013
1675,1.810145
1676,1.817897
1677,1.823755
1678,1.810145
1679,1.812077
1680,1.812077
1681,1.823755
1682,1.812077
1683,1.819846
1684,1.812077
1685,1.821798
1686,1.810145
1687,1.819846
1688,1.815953
1689,1.812077
1690,1.819846
1691,1.815953
1692,1.819846
1693,1.814013
1694,1.825716
1695,1.817897
1696,1.812077
1697,1.819846
1698,1.817897
1699,1.815953
1700,1.810145
1701,1.812077
1702,1.815953
1703,1.819846
1704,1.810145
1705,1.819846
1706,1.814013
1707,1.814013
1708,1.810145
1709,1.817897
1710,1.810145
1711,1.810145
1712,1.814013
1713,1.810145
1714,1.808217
1715,1.802459
1716,1.810145
1717,1.821798
1718,1.814013
1719,1.810145
1720,1.817897
1721,1.821798
1722,1.821798
1723,1.808217
1724,1.814013
1725,1.815953
1726,1.812077
1727,1.810145
1728,1.806294
1729,1.821798
1730,1.814013
1731,1.812077
1732,1.810145
1733,1.821798
1734,1.812077
1735,1.814013
1736,1.814013
1737,1.823755
1738,1.814013
1739,1.817897
1740,1.815953
1741,1.817897
1742,1.815953
1743,1.808217
1744,1.810145
1745,1.810145
1746,1.814013
1747,1.825716
1748,1.814013
1749,1.812077
1750,1.819846
1751,1.815953
1752,1.819846
1753,1.812077
1754,1.806294
1755,1.821798
1756,1.812077
1757,1.821798
1758,1.817897
1759,1.812077
1760,1.823755
1761,1.812077
1762,1.819846
1763,1.817897
1764,1.819846
1765,1.817897
1766,1.815953
1767,1.802459
1768,1.806294
1769,1.815953
1770,1.817897
1771,1.815953
1772,1.808217
1773,1.812077
1774,1.814013
1775,1.821798
1776,1.804374
1777,1.817897
1778,1.815953
1779,1.810145
1780,1.819846
1781,1.815953
1782,1.815953
1783,1.812077
1784,1.808217
1785,1.812077
1786,1.812077
1787,1.819846
1788,1.821798
1789,1.808217
1790,1.810145
1791,1.814013
1792,1.812077
1793,1.812077
1794,1.812077
1795,1.815953
1796,1.819846
1797,1.810145
1798,1.819846
1799,1.815953
1800,1.817897
1801,1.812077
1802,1.815953
1803,1.825716
1804,1.817897
1805,1.812077
1806,1.815953
1807,1.804374
1808,1.812077
1809,1.819846
1810,1.812077
1811,1.817897
1812,1.817897
1813,1.821798
1814,1.814013
1815,1.821798
1816,1.821798
1817,1.810145
1818,1.814013
1819,1.812077
1820,1.814013
1821,1.812077
1822,1.815953
1823,1.814013
1824,1.814013
1825,1.812077
1826,1.814013
1827,1.819846
1828,1.817897
1829,1.817897
1830,1.814013
1831,1.815953
1832,1.815953
1833,1.808217
1834,1.808217
1835,1.815953
1836,1.812077
1837,1.812077
1838,1.817897
1839,1.823755
1840,1.812077
1841,1.815953
1842,1.810145
1843,1.814013
1844,1.806294
1845,1.819846
1846,1.823755
1847,1.808217
1848,1.819846
1849,1.821798
1850,1.817897
1851,1.814013
1852,1.815953
1853,1.812077
1854,1.817897
1855,1.815953
1856,1.817897
1857,1.806294
1858,1.814013
1859,1.817897
1860,1.819846
1861,1.808217
1862,1.819846
